,ID,Line,Condition,Path,Cyt,Mem_post,Dosage_af,Dosage_sub,Genotype
20,20,nwg201,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11170730par2_tom4,15,60/01",2672.4049371184587,9273.04787192168,4373.602871521866,4882.693424537718,"Wild type, par-3 -/-"
21,21,nwg201,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11170730par2_tom4,15,60/02",2592.7293691721925,11037.514032688407,4443.28202647039,4885.93375674199,"Wild type, par-3 -/-"
22,22,nwg201,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11170730par2_tom4,15,60/03",1317.8861728586296,4179.069082242104,2053.4928654484283,2397.9581749544113,"Wild type, par-3 -/-"
23,23,nwg201,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11170730par2_tom4,15,60/04",2632.96793983654,9333.637585453213,4346.684303385823,5332.18148896805,"Wild type, par-3 -/-"
24,24,nwg201,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11170730par2_tom4,15,60/05",2490.033064934926,7053.55354408533,3759.57421923051,4607.93555520506,"Wild type, par-3 -/-"
25,25,nwg201,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11170730par2_tom4,15,60/06",2487.675263720242,6739.263202053351,3807.9437581039665,4548.2684910870175,"Wild type, par-3 -/-"
26,26,nwg201,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11170730par2_tom4,15,60/07",2508.006302479381,7569.950713078286,4035.399932574579,4215.133246278212,"Wild type, par-3 -/-"
27,27,nwg201,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11170730par2_tom4,15,60/08",1882.9044020755834,5504.614422556213,2817.0453659722143,3236.719994165637,"Wild type, par-3 -/-"
28,28,nwg201,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11170730par2_tom4,15,60/09",2194.4513969159934,5825.5111180633285,3308.969825184675,3730.9976618441788,"Wild type, par-3 -/-"
29,29,nwg201,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11170730par2_tom4,15,60/10",1713.4285991151294,3467.1703499903024,2113.5270912169353,2138.839208838752,"Wild type, par-3 -/-"
30,30,nwg201,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11170730par2_tom4,15,60/11",1673.6277973510012,3491.313286835052,2247.912251019858,2564.2720048559504,"Wild type, par-3 -/-"
31,31,nwg201,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11170730par2_tom4,15,60/12",1961.723171905493,5199.972731757982,2877.498491855603,3270.750172809713,"Wild type, par-3 -/-"
